,ID,MOLD_ID,CT,TFF
95224,1663760,B,0,20211101120736
95234,1663864,F,0,20211101120257
95237,1663876,C,0,20211101121949
95259,1664034,B,0,20211101130738
95271,1664144,F,0,20211101130300
95274,1664156,C,0,20211101131952
95296,1664314,B,0,20211101140741
95308,1664424,F,0,20211101140302
95311,1664436,C,0,20211101141955
95333,1664594,B,0,20211101150744
95345,1664704,F,0,20211101150305
95348,1664716,C,0,20211101151957
95385,1664936,B,0,20211101160746
95399,1665053,F,0,20211101160308
95402,1665065,C,0,20211101162000
95422,1665216,B,0,20211101170748
95436,1665333,F,0,20211101170311
95439,1665345,C,0,20211101172003
95459,1665496,B,0,20211101180750
95473,1665614,F,0,20211101180314
95476,1665626,C,0,20211101182005
95497,1665781,B,0,20211101190752
95512,1665902,F,0,20211101190316
95514,1665911,C,0,20211101192007
95541,1666116,B,0,20211101200755
95549,1666182,F,0,20211101200318
95551,1666191,C,0,20211101202009
95578,1666397,B,0,20211101211533
95586,1666463,F,0,20211101210320
95588,1666472,C,0,20211101212012
95616,1666681,B,0,20211101221535
95623,1666743,F,0,20211101220322
95625,1666752,C,0,20211101222014
95653,1666961,B,0,20211101231537
95660,1667023,F,0,20211101230325
95662,1667032,C,0,20211101232016
95696,1667273,B,0,20211102001539
95699,1667296,F,0,20211102000328
95705,1667340,C,0,20211102002018
95732,1667553,B,0,20211102011541
95736,1667579,F,0,20211102010331
95742,1667621,C,0,20211102012021
95769,1667833,B,0,20211102021543
95773,1667860,F,0,20211102020333
95779,1667902,C,0,20211102022024
95806,1668150,B,0,20211102031545
95810,1668176,F,0,20211102030336
95816,1668218,C,0,20211102032026
95843,1668430,B,0,20211102041547
95847,1668456,F,0,20211102040338
95853,1668498,C,0,20211102042028
95884,1668726,B,0,20211102051549
95888,1668752,F,0,20211102050341
95894,1668794,C,0,20211102052031
95921,1669005,B,0,20211102061551
95923,1669026,F,0,20211102060343
95931,1669075,C,971,20211102062033
95958,1669277,B,0,20211102071554
95960,1669293,F,0,20211102070345
95968,1669336,C,185,20211102072036
95995,1669546,B,179,20211102081556
95997,1669564,F,0,20211102080348
96007,1669622,F,0,20211102080348
96017,1669669,C,185,20211102082038
96033,1669787,B,179,20211102091558
96044,1669860,F,0,20211102091142
96054,1669905,C,184,20211102092920
96069,1670021,B,179,20211102101600
96079,1670086,F,0,20211102101145
96089,1670135,C,183,20211102102923
96105,1670253,B,178,20211102111602
96115,1670322,C,183,20211102112925
96124,1670371,F,0,20211102111147
96141,1670473,B,178,20211102121604
96155,1670565,F,0,20211102121150
96161,1670593,C,183,20211102122928
96177,1671021,B,178,20211102131607
96195,1671121,F,0,20211102131153
96202,1671152,C,182,20211102132931
96225,1671292,B,178,20211102141609
96239,1671387,F,0,20211102141155
96245,1671413,C,183,20211102142933
